name,Entrance,Exit,Shangri-La Rasa Sentosa,Fort Siloso,SEA Aquarium,Tanjong Beach,Sentosa Golf Club,W Singapore,Capella Singapore,Universal Studios Singapore,Trickeye Singapore,WaterWorld,Silk Road of the Sea,Samundar Indian Fusion Cuisine and Bar,Dragon's Teeth Gate Viewpoint,7-Eleven,Resort World Sentosa,Din Tai Fung,Texas Chicken,Putien,Resorts World Theatre,Equarius Hotel,Scentopia,Skyline Luge Sentosa,iFly Singapore,Adventure Cove Sentosa,Southern Albatross,Michael's Lounge,Krispy Kreme,Starbucks,llaollao,Malaysian Food Street,Osia Steak and Seafood Grill,Feng Shui Inn,Soi Social,Hotel Ora,Crockford's Tower,Central Beach Bazaar,Ola Beach Club,SkyHelix Sentosa,Sentosa SkyJet,KidZania Singapore,Wings of Time,"C-side: Bikini Bar, Coastes, and Sand Bar
",Syun,Sanctuary Tearoom,Rumours Beach Club,Sentosa 4D AdventureLand: Immersive 4D Rides & Shows,The Forum,Oasia Resort Sentosa,The Barracks Hotel Sentosa,The Outpost Hotel Sentosa,Village Hotel Sentosa,Hotel Michael,Mess Hall,The Coffee Bean & Tea Leaf,Baristart Cafe,Gelatissimo,LiHo Tea,Old Chang Kee,Good Old Days Food Court,Mr.Coconut,The Palawan @ Sentosa,+Twelve,Blu Kouzina Sentosa,HydroDash,HyperDrive,HyperDrive Cafe,Splash Tribe,The Palawan Dog Run,The Palawan Food Trucks,UltraGolf ,Sentosa Sensoryscape,Madame Tussauds Singapore,Singapore Cable Car Sky Network,Sentosa Nature Discovery,Female Toilet @ Wings of Time,Male Toilet @ Wings of Time,Toilet @ Beach Station,Vehicle Stand @ Beach Station,Toilet @ iFly Singapore,Toilet @ SensoryScape,Toilet @ Imbiah Station,Imbiah Station,Beach Station,Toilet @ Ola Beach Club,Toilet @ Opp Siloso Beach Resort Station,Toilet @ Siloso beach,Toilet @ Sentosa Cable Car Station,Skypark Sentosa by AJ Hackett,Mega Adventure - Singapore,Sensoryscape: Symphony Streams,Sensoryscape: Glow Garden,Sensoryscape: Palate Playground,Sensoryscape: Hyperzoom,Sensoryscape: Scented Sphere,Sensoryscape: Tactile Trellis,Sensoryscape: Lookout Loop,Sensoryscape: Upper Deck
Entrance,0.0,0.0,3297.068,3378.73,1297.988,3372.378,3004.345,4504.954,2422.245,3403.175,1133.035,3071.932,2377.083,2517.911,3678.379,3226.992,1605.17,1379.216,1435.933,1495.354,1513.106,2279.311,2868.498,2292.413,2220.328,1728.137,1465.641,1669.099,1503.66,1503.542,1530.705,1276.552,1631.06,1710.139,1657.799,1846.844,1694.707,2463.426,2521.808,2090.984,2463.426,2511.158,2430.374,2467.005,1745.796,2359.026,2664.784,2395.442,1428.019,1927.139,2428.397,2615.908,2081.79,3773.768,2099.204,2466.012,2678.423,2353.987,2201.103,2225.891,2230.635,2463.426,2329.683,2472.273,2336.89,2398.433,inf,2358.328,2363.254,2351.816,2381.75,2381.932,2141.428,2025.488,2115.316,2163.867,2352.053,2364.654,2262.3,2365.054,2242.569,1962.396,1815.39,1841.753,2225.94,2541.881,2752.211,2875.108,2178.797,2851.288,2998.568,2080.643,2118.324,2141.708,2056.58,2018.276,2016.846,2026.062,1967.244
Exit,0.0,0.0,3309.001,3386.848,1340.01,3440.113,3076.276,4528.298,2489.98,3470.91,1133.035,3139.667,2450.555,2591.384,3577.672,3080.95,1613.288,1387.333,1444.051,1503.471,1521.223,2467.971,2879.839,2294.503,2222.418,1770.055,1507.663,1677.217,1511.778,1511.659,1538.823,1276.552,1639.178,1718.257,1665.916,1775.614,1702.824,2456.846,2522.445,2132.469,2456.846,2482.683,2423.793,2467.642,1714.776,2330.551,2665.421,2403.56,1436.136,1958.597,2399.922,2191.149,2113.247,3834.203,2101.294,2459.432,2679.061,2347.406,2203.193,2227.981,2232.725,2456.846,2331.773,2503.73,2410.363,2471.906,2431.801,2431.801,2436.726,2425.289,2455.223,2455.405,2143.518,2065.937,2156.801,2205.352,2354.143,2358.074,2264.39,2286.643,2244.659,1983.662,1823.507,1873.21,2228.031,2542.518,2763.552,2907.693,2220.281,2862.629,2999.268,2082.733,2120.414,2143.798,2058.67,2020.366,1967.258,2054.448,1969.335
Shangri-La Rasa Sentosa,3297.068,3297.068,0.0,597.323,2007.182,3182.959,3409.927,4797.021,2341.556,3049.857,2196.105,2718.615,1739.732,1880.56,769.599,238.949,1798.088,1917.853,1901.805,1801.714,1783.962,2036.623,695.147,1171.075,1329.24,2144.309,1971.472,1627.969,1793.408,1793.526,1766.363,2067.928,1666.008,1663.367,1639.269,1797.696,1656.388,1274.084,944.718,1128.492,1274.084,2119.231,1241.032,999.521,1644.436,1967.099,801.742,1020.827,1869.049,1638.716,2036.47,1827.698,1749.795,3413.149,1511.274,1276.671,788.103,1119.645,1322.062,1346.851,1235.307,1274.084,1301.407,1850.106,1699.539,1742.914,1702.809,1702.809,1707.735,1696.297,1744.399,1726.413,1324.514,1191.368,1107.224,1055.734,1279.037,1175.313,1383.26,1638.259,1221.102,1341.228,1500.292,1509.758,1319.522,924.645,769.313,667.293,1098.258,614.653,493.882,1424.609,1346.208,1469.889,1409.362,1483.33,1548.3,1723.323,1498.698
Fort Siloso,3378.73,3378.73,597.323,0.0,2254.641,3407.607,3488.046,4986.492,2531.027,3239.328,2277.768,2908.086,1964.379,2105.207,179.849,463.597,1879.751,1999.515,1983.468,1883.377,1865.625,2152.105,919.794,1395.722,1553.887,2259.791,2086.954,1709.631,1875.07,1875.189,1848.025,2149.591,1747.671,1745.03,1720.932,1848.722,1738.05,1498.732,1169.365,1353.139,1498.732,2308.702,1465.679,1224.168,1726.099,2156.57,1026.389,1245.474,1950.712,1863.363,2225.941,2413.453,2041.232,3602.621,1735.921,1501.318,1012.75,1344.292,1546.709,1571.498,1459.954,1498.732,1526.054,2074.753,1924.187,1967.561,1927.456,1927.456,1932.382,1920.944,1969.046,1951.06,1549.161,1416.015,1331.871,1280.381,1503.684,1399.96,1607.907,1862.906,1445.749,1565.875,1751.492,1801.195,1544.169,1149.292,993.96,891.94,1322.905,839.3,718.529,1649.256,1570.855,1694.536,1634.009,1707.977,1772.947,1947.97,1723.345
SEA Aquarium,1297.988,1297.988,2010.997,2088.844,0.0,2685.948,2322.11,3774.133,1407.004,2115.305,239.047,1784.062,1152.551,1293.38,2279.668,1782.946,315.284,89.329,146.047,205.467,223.219,1127.961,1581.835,996.499,924.414,430.044,167.653,379.213,213.774,213.655,240.819,110.87,341.174,420.253,367.912,477.61,404.821,1158.842,1224.441,834.465,1158.842,1184.679,1125.79,1169.638,416.772,1032.547,1367.418,1105.556,138.132,660.593,1101.918,893.146,815.244,2478.597,803.29,1161.428,1381.056,1049.402,905.189,929.977,inf,inf,inf,1205.727,1112.359,1173.902,1133.797,1133.797,1138.722,1127.285,1157.219,1157.401,845.514,767.933,858.797,907.348,1056.139,1060.07,966.387,988.639,946.655,685.659,525.503,575.207,930.026,1244.514,1465.548,1609.689,922.278,1564.625,1701.264,784.729,822.41,845.794,760.666,722.362,669.254,756.444,671.331
Tanjong Beach,3372.378,3372.378,3149.951,3374.598,2681.714,0.0,1788.658,3324.486,1890.116,2871.046,2442.667,2539.803,1447.517,1306.688,3546.875,2887.302,2307.27,2427.034,2410.987,2310.896,2293.144,2831.219,2528.808,2028.734,1956.649,2860.884,2849.367,2137.151,2302.589,2302.708,2275.545,2618.255,2175.19,2172.549,2148.451,2306.878,2165.57,1931.655,2171.413,2469.315,1931.655,1813.783,1898.603,2116.61,2153.618,1720.99,2314.39,2560.265,2378.231,1902.699,1874.961,2062.472,2038.008,3234.338,2043.795,1934.242,2328.029,1996.375,1876.795,1901.583,1951.942,1931.655,1814.725,1346.728,1487.71,1591.368,1551.263,1551.263,1556.189,1544.751,1442.85,1574.867,1924.862,2433.039,2454.3,2460.393,1837.095,1940.819,1803.989,1677.929,1978.89,2237.351,2013.679,1990.505,1849.827,2191.486,2412.521,2556.662,2475.323,2511.598,2648.236,1957.129,1973.617,1856.73,1941.883,2015.85,2080.82,2255.843,2031.218
Sentosa Golf Club,3004.345,3004.345,3376.918,3601.565,2313.681,1788.658,0.0,2920.073,1522.997,2503.927,2074.633,2172.685,1674.484,1533.655,3773.842,3114.269,2092.089,2361.003,2417.721,2173.794,2156.042,2575.495,2755.774,2255.701,2183.616,2743.725,2481.334,1921.97,2165.488,2165.606,2138.443,2250.222,1960.009,1957.368,1933.27,2093.337,1950.389,2158.622,2398.38,2255.932,2158.622,1742.804,2125.57,2343.577,1938.437,1590.672,2541.357,2527.023,2409.806,1951.676,1721.189,1908.701,1884.237,2867.219,2270.761,2161.209,2554.996,2223.342,2103.762,2128.551,2178.909,2158.622,2041.692,1573.695,1714.677,1818.335,1778.23,1778.23,1783.156,1771.718,1669.817,1801.834,2151.828,2189.4,2280.264,2328.815,2064.062,2167.786,2030.956,1904.895,2205.857,2107.126,1968.073,1944.898,2076.794,2418.453,2639.487,2783.629,2343.745,2738.565,2875.203,2184.096,2200.584,2083.697,2168.849,2242.817,2307.787,2177.911,2258.185
W Singapore,4504.954,4504.954,5072.959,5036.859,3814.289,3484.698,2964.464,0.0,3093.165,4074.094,3575.242,3742.852,3370.525,3229.696,5469.882,4810.31,3662.257,3861.612,3918.33,3743.961,3726.209,4145.662,4451.815,3951.741,3879.656,4244.334,3981.943,3492.137,3735.654,3735.773,3708.61,3750.831,3530.176,3527.535,3503.437,3663.504,3520.556,3854.663,4094.421,3826.099,3854.663,3312.971,3821.611,4039.618,3508.604,3160.839,4237.397,4097.19,3910.416,3521.843,3291.356,3478.867,3454.404,4437.387,3966.802,3857.25,4251.037,3919.382,3799.803,3824.591,3874.95,3854.663,3737.732,3269.736,3410.718,3514.376,3474.271,3474.271,3479.197,3467.759,3365.858,3497.875,3847.869,3759.567,3850.431,3898.982,3760.102,3863.827,3726.997,3600.937,3901.897,3677.293,3538.239,3515.066,3772.835,4114.494,4335.528,4479.669,3913.912,4434.605,4571.244,3880.137,3896.625,3779.738,3864.89,3938.858,3660.888,3748.079,3662.965
Capella Singapore,2422.245,2422.245,2538.996,2512.954,1425.523,1890.116,1526.278,3024.724,0.0,1550.189,1492.534,1218.946,836.563,695.733,2703.778,inf,inf,inf,inf,1220.056,1202.304,1621.757,1917.853,1417.779,1345.694,1729.443,1556.606,968.232,1211.749,1211.868,1184.704,1668.122,1006.271,1003.63,979.532,1139.599,996.651,1320.701,1560.459,1302.194,1320.701,789.066,1287.648,1505.656,984.699,636.934,1703.435,1573.285,1287.391,997.938,767.451,954.962,930.499,1913.481,1271.019,1323.287,1717.074,1385.42,1265.84,1290.629,1340.988,1320.701,1203.77,735.773,876.755,980.414,940.309,940.309,945.234,933.797,831.895,963.913,1313.907,1235.662,1326.526,1375.077,1226.14,1329.864,1193.034,1066.974,1367.935,1153.388,1014.334,991.16,1238.873,1580.531,1801.566,1945.707,1390.007,1900.643,2037.282,1252.458,1362.663,1245.776,1228.395,1190.091,1136.983,1224.173,1139.06
Universal Studios Singapore,3403.175,3403.175,3187.028,3174.047,2086.616,2871.046,2507.208,4005.654,1550.189,0.0,2473.463,331.242,1659.342,1666.618,3364.87,2958.977,1799.444,1997.287,1981.24,1881.149,1863.396,2282.85,2696.7,2147.838,2075.753,2390.536,2217.698,1629.324,1872.842,1872.96,1845.797,2147.363,1667.364,1664.723,1640.625,1800.692,1657.743,2099.548,2339.306,2010.495,2099.548,1497.367,2066.496,2284.503,1645.792,1345.235,2482.282,2281.586,1948.484,1706.24,1475.753,1663.264,1638.8,399.998,1979.321,2102.134,2495.921,2164.267,2044.688,1993.015,2119.835,2099.548,1982.617,1626.579,1684.151,1787.809,1747.704,1747.704,1752.63,1741.192,1654.674,1771.308,1996.853,1943.963,2034.827,2083.378,2004.987,2108.711,1971.881,1838.58,2097.995,1861.689,1722.636,1699.462,2017.719,2359.378,2580.413,2724.554,2098.308,2679.49,2816.129,1960.76,1998.441,1906.72,1936.697,1898.392,1845.285,1932.475,1847.361
