floor,floorId,icon,location,name,poiId,unit
B1,3fdb74a7-a8be-465d-a849-d51253a1afb6,poi/11947654/icon/47c01ae43e5f41b28bab99ca158d9b92.png,"{'lat': 1.3602977883868828, 'lon': 103.98920000505034}",ALDO,11947654,B1-252-253
B1,3fdb74a7-a8be-465d-a849-d51253a1afb6,poi/11886094/icon/47e43bc190004607ace4043940c685bc.jpg,"{'lat': 1.3602378383492157, 'lon': 103.98917868536896}",BLACK BY BLUE BRAVE,11886094,B1-251
B1,3fdb74a7-a8be-465d-a849-d51253a1afb6,poi/11985080/icon/b9c4fd46a2754135940811ba03f30426.png,"{'lat': 1.359657414777494, 'lon': 103.98953587691021}",DON DON DONKI,11985080,B1-225-227
B1,3fdb74a7-a8be-465d-a849-d51253a1afb6,poi/11987607/icon/4b2abf9cc0e246b790f1c3222aea86f4.png,"{'lat': 1.3598069068864167, 'lon': 103.98945020703283}",DON DON DONKI FOOD COURT,11987607,B1-228
B1,3fdb74a7-a8be-465d-a849-d51253a1afb6,,"{'lat': 1.3604632702266208, 'lon': 103.98959727661122}",Escalator,218c571f-9caf-4c70-8dc8-039c37078aa4,
B1,3fdb74a7-a8be-465d-a849-d51253a1afb6,,"{'lat': 1.359740289991927, 'lon': 103.98913954740918}",Female Restroom,2bc6b741-1823-4722-b7bc-d6dd4dfdac4c,
B1,3fdb74a7-a8be-465d-a849-d51253a1afb6,poi/11886363/icon/04a333087b6c40639bd8fd52c9755491.jpg,"{'lat': 1.3600745172752655, 'lon': 103.98995803907528}",GOCHI-SO SHOKUDO,11886363,
B1,3fdb74a7-a8be-465d-a849-d51253a1afb6,poi/12022433/icon/924b3ddfa56d45dda8b0e84e57fd8b92.jpeg,"{'lat': 1.360138217636378, 'lon': 103.98926403714005}",GOELIA,12022433,B1-250
B1,3fdb74a7-a8be-465d-a849-d51253a1afb6,poi/11981124/icon/76c83009fda24859869b3a5fadde3b9f.png,"{'lat': 1.3598184316610493, 'lon': 103.99001987303393}",GREENDOT PLUS,11981124,B1-297
B1,3fdb74a7-a8be-465d-a849-d51253a1afb6,poi/11980780/icon/3496e9991b6e47aa9dabcc6229ef2f38.png,"{'lat': 1.359701746813697, 'lon': 103.99004857047399}",HOOGA,11980780,B1-217-218
B1,3fdb74a7-a8be-465d-a849-d51253a1afb6,poi/11981103/icon/4414bd1618124341a01347f41c14e207.png,"{'lat': 1.3600865896677654, 'lon': 103.98941253866879}",HOSHINO COFFEE JAPANESE CAFÉ & RESTAURANT,11981103,
