id,name,category,for,description,operating_hours,cluster,longitude,latitude
0, Entrance/Exit, place, all,The Entrance and Exit of Singapore Zoo.,"8:30am – 6:00pm
",9,103.790457,1.404228
1, Ah Meng Restaurant, food, all,"With a casual atmosphere and a variety of food to choose from, Ah Meng Restaurant is the perfect food stop. Enjoy local and western delights such as chicken rice, BBQ Half Spring Chicken, briyani and more!","8:30am – 6:00pm
",0,103.79358,1.40416
2, KidzWorld, region, young,"Step into the new KidzWorld — Home of the Ranger Buddies! Spark a sense of wonder for our animals through up-close animal interactions and interactive play. With a myriad of play opportunities from water play to sensory play, there is something for every child.","8:30am – 6:00pm
",1,103.796225,1.40315
3, RepTopia,region, young,"Home to over 60 species of reptiles and amphibians, a third of which have never been seen here before, RepTopia takes you on a tour of four unique geographical zones. Multi-species displays, keeper demos, interactive stations and play elements interface to make this a most ‘snake’-tacular zone.","8:30am – 6:00pm
",5,103.794698,1.402405
4, White Rhinoceros,place,all,"A huge animal that feeds exclusively on grass, the white rhino has a wide mouth shaped for ‘mowing’ short grass. Its square lips set it apart from the hook-lipped black rhino.

Like horses and tapirs, rhinos have a simple stomach. Bacteria in their digestive tract help them digest the 60-80kg of vegetation they eat a day.

Our rhinos are fed pellets and leaves on top of grass. Keepers scatter these on the ground to suit their grazing habits. Fruits are given as treats.","8:30am – 6:00pm
",11,103.793461,1.402918
5, Pavilion By The Lake, place,old,"Be enthralled by the tranquil surroundings of Seletar Reservoir at Pavilion by the Lake, an exquisite space nestled in nature's embrace. With a picturesque lake as your backdrop and surrounded by lush greenery, this idyllic venue sets the stage for unforgettable events.","8:30am – 6:00pm
",4,103.7944247,1.405860511
6,Tram Stop 1,transport,all,First Tram Stop. Last tram departs at 5.30pm.,"8:30am – 6:00pm
",0,103.793793,1.404269
7,Tram Stop 2,transport,all,Second Tram Stop. Last tram departs at 6.05pm,"8:30am – 6:00pm
",4,103.794502,1.405867
8,Tram Stop 3,transport,all,Third tram stop. Last tram departs at 6.10pm,"8:30am – 6:00pm
",11,103.793617,1.403124
9,Tram Stop 4,transport,all,Fourth tram stop. Last tram departs at 6.15pm.,"8:30am – 6:00pm
",15,103.79585,1.401819
10,Shaw Foundation Ampitheatre Shop,shop,all,Explore our wide range of memorabilia and bring one home to remind you of our spectacular animal presentations!,10:00am – 5:30pm,12,103.794933,1.404619
11,Singapore Zoo Shop,shop,all,"From an assortment of plush toys to an array of nature-inspired mementos, discover unique finds and bring home a piece of wildlife!","9:00am – 7:00pm (Mon – Fri), 8:30am – 7:00pm (Sat, Sun & PH)",16,103.790934,1.404646
12,Asian Small-clawed Otter,place,all,"Our otters’ two-tiered exhibit is spread across an outdoor upper deck and an indoor viewing gallery. The terrain of the top tier is rocky — they build their dens and nest chambers beneath the boulders. Here, you’ll see them doing their laps in the stream, engaged in a game of tag or playing ‘juggle-the-pebble’. To view their underwater acrobatics, follow the footpath to the lower exhibit. Zoom in on their tiny ears and nostrils — the otters can close them while they swim.","8:30am – 6:00pm
",10,103.791977,1.404699
13,Australasia,region,all,"While most of the world’s marsupials are found in Australia, marsupials also occur naturally in New Guinea, Indonesia and surrounding islands and the Americas. Besides the grey kangaroos and agile wallabies from Australia, this exhibit also showcases the tree kangaroos from Papua New Guinea.","8:30am – 6:00pm
",6,103.793362,1.406006
14,Hamadryas Baboon,animal,all,"Hardy monkeys with a strong build and a dog-like snout, both males and females of this baboon species sport greyish-brown fur. The males develop a long, silvery mantle-like mane when they reach puberty. They are twice as big as the females. Males and females look so dissimilar that they have been thought to be of different species.

Pay these intelligent primates a visit at the Great Rift Valley exhibit. ","8:30am – 6:00pm
",6,103.793503,1.405566
